,전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,수도권
20.05.11,77.117,77.388,85.364,81.137,80.54,80.552,82.142,78.901,77.657,76.979,74.414,73.114,68.101,76.751,81.968,77.919,80.209,75.117,74.795,80.585,78.766,77.517,80.461,80.457,81.535,78.278,80.578,72.837
20.05.18,77.164,77.413,85.376,81.156,80.544,80.558,82.292,78.928,77.661,77.064,74.464,73.142,68.181,76.81,81.968,77.96,80.195,75.117,74.864,80.585,78.814,77.564,80.549,80.451,81.462,78.272,80.576,72.897
20.05.25,77.217,77.449,85.389,81.211,80.544,80.579,82.447,78.929,77.666,77.09,74.588,73.155,68.306,76.842,82.024,78.006,80.207,75.154,74.977,80.67,78.849,77.567,80.549,80.45,81.443,78.254,80.578,72.965
20.06.01,77.283,77.515,85.49,81.239,80.57,80.603,82.535,78.979,77.666,77.148,74.743,73.16,68.487,76.863,82.063,78.132,80.203,75.328,75.083,80.847,78.922,77.584,80.595,80.454,81.443,78.303,80.578,73.047
20.06.08,77.369,77.628,85.537,81.262,80.589,80.624,82.693,79.033,77.681,77.334,74.854,73.208,68.735,76.958,82.213,78.345,80.371,75.45,75.213,81.315,79.012,77.618,80.71,80.477,81.491,78.401,80.596,73.16
20.06.15,77.489,77.788,85.577,81.435,80.593,80.643,82.882,79.179,77.72,77.561,75.127,73.239,68.954,76.967,82.395,78.573,80.802,75.555,75.352,81.682,79.145,77.797,80.77,80.568,81.775,78.514,80.663,73.313
20.06.22,77.731,78.133,85.784,81.588,80.697,80.792,83.189,79.485,77.819,77.888,76.06,73.513,69.621,77.264,82.776,78.952,81.126,75.905,75.619,81.869,79.606,77.98,81.33,80.661,82.098,78.939,80.809,73.651
20.06.29,77.941,78.515,85.873,81.9,80.793,80.895,83.771,79.754,77.966,78.568,76.57,73.96,70.245,77.42,83.21,79.329,81.617,76.242,75.866,82.3,80.166,78.258,81.719,80.886,82.344,79.484,80.895,73.942
20.07.06,78.142,78.954,85.927,82.043,80.943,81.435,84.044,80.057,78.266,79.112,76.837,74.382,70.742,78.032,83.475,79.506,82.09,76.734,76.43,82.586,80.775,78.689,82.121,81.196,82.938,80.096,81.097,74.224
20.07.13,78.35,79.452,86.231,82.763,81.36,81.693,84.529,80.497,78.664,79.831,77.424,74.855,71.606,78.167,83.708,79.974,82.461,77.376,76.867,82.744,81.294,79.141,82.451,81.568,83.372,80.819,81.282,74.528
20.07.20,78.54,79.914,86.41,83.208,81.686,81.841,84.96,80.922,79.253,80.346,78.495,75.724,72.239,78.455,84.027,80.275,83.151,77.949,77.22,83.225,81.718,79.508,82.933,81.93,83.711,81.187,81.536,74.803
20.07.27,78.723,80.338,86.624,83.499,81.975,82.236,85.229,81.169,79.766,80.966,79.211,76.409,72.891,78.907,84.23,80.559,83.555,78.403,77.952,83.478,82.111,79.874,83.197,82.007,84.026,81.574,81.837,75.068
20.08.03,78.881,80.653,87.289,83.676,82.075,82.692,85.581,81.268,80.385,81.293,79.501,76.806,73.361,79.386,84.506,80.852,83.837,78.481,78.371,83.59,82.488,80.253,83.404,82.372,84.214,81.792,82.087,75.258
